i1,i2,i3
279,280,265
142,128,127
171,157,156
113,114,99
184,185,175
96,1,2
244,229,243
107,122,108
91,164,163
140,125,139
235,220,234
45,46,140
175,66,65
257,258,243
232,233,218
170,180,43
262,263,248
94,162,161
290,26,291
275,274,289
264,249,263
82,81,216
76,228,77
196,206,197
288,287,23
258,273,259
293,292,28
63,1,96
63,96,62
97,96,111
63,0,1
6,171,156
127,113,112
171,172,157
162,147,161
195,205,69
7,171,6
172,158,157
148,133,147
143,144,129
160,161,146
95,94,161
163,164,149
132,133,118
98,97,112
129,130,115
146,147,132
116,131,117
130,145,131
159,145,144
161,147,146
58,100,101
132,131,146
105,106,53
106,107,52
54,104,105
217,208,207
47,125,46
154,140,139
108,50,51
153,154,139
46,125,140
190,42,180
136,135,150
90,164,91
179,170,169
89,88,165
147,162,148
153,139,138
162,163,148
164,150,149
93,92,163
152,167,153
196,83,206
187,197,188
230,231,80
216,207,206
80,231,216
247,261,262
247,248,233
189,190,180
190,189,199
178,168,177
208,209,199
200,190,199
209,200,199
43,44,170
198,208,199
250,265,36
234,249,235
278,263,277
294,293,29
262,248,247
233,232,247
290,275,289
260,275,261
27,291,26
277,276,291
264,250,249
277,291,292
226,73,72
245,246,231
273,288,274
270,285,271
25,26,290
64,160,175
174,173,183
195,194,204
240,225,239
204,205,195
228,243,229
255,270,256
227,242,228
182,192,183
236,221,12
183,192,193
251,13,14
191,9,201
211,202,201
253,268,254
251,237,236
23,24,288
126,3,4
2,3,111
97,111,112
96,2,111
62,97,61
113,98,112
62,96,97
99,98,113
61,97,98
111,3,126
114,100,99
128,114,113
115,100,114
143,128,142
144,145,130
142,141,156
142,156,157
127,126,141
112,111,126
113,127,128
112,126,127
5,156,141
4,141,126
4,5,141
158,143,157
127,141,142
6,156,5
181,172,171
173,158,172
8,191,181
7,181,171
7,8,181
175,174,184
182,181,191
183,193,184
221,211,11
193,194,184
193,203,194
157,143,142
158,159,144
173,159,158
175,65,64
182,173,172
183,184,174
173,182,183
172,181,182
129,144,130
143,158,144
159,160,145
159,174,160
161,160,64
160,174,175
159,173,174
175,185,66
184,194,185
185,67,66
185,194,195
68,195,69
67,185,195
64,95,161
163,92,91
133,132,147
116,101,115
149,134,148
104,103,118
145,146,131
145,160,146
93,162,94
93,163,162
118,103,117
101,100,115
132,117,131
103,102,117
132,118,117
121,135,136
58,59,100
60,61,98
129,115,114
130,131,116
130,116,115
117,102,116
128,129,114
128,143,129
59,60,99
102,57,101
59,99,100
60,98,99
57,58,101
56,57,102
55,56,103
116,102,101
103,56,102
104,55,103
119,105,104
54,55,104
54,105,53
104,118,119
133,119,118
166,151,165
119,120,105
119,134,120
133,134,119
133,148,134
134,135,120
134,149,135
151,136,150
121,106,120
124,123,138
122,121,136
166,152,151
137,136,151
53,106,52
120,106,105
120,135,121
137,122,136
107,106,121
123,109,108
107,121,122
52,107,51
51,107,108
138,139,124
109,50,108
50,109,49
110,109,124
123,124,109
125,47,110
48,49,110
48,110,47
49,109,110
125,124,139
125,110,124
155,45,140
122,123,108
122,137,123
137,138,123
165,151,150
137,152,138
168,178,169
168,154,153
155,140,154
168,169,154
179,180,170
188,178,187
167,152,166
187,178,177
179,169,178
169,155,154
44,45,155
155,170,44
155,169,170
42,43,180
41,42,190
179,189,180
200,41,190
40,41,200
209,210,200
176,86,186
197,198,188
199,189,198
179,178,188
188,189,179
188,198,189
177,176,186
207,198,197
84,196,85
186,187,177
85,196,186
