i2,i2,bc
16,17,0
17,18,0
18,19,0
19,20,0
20,21,0
21,22,0
22,23,0
23,24,0
24,25,0
25,26,0
26,27,0
27,28,0
28,29,0
29,30,0
30,31,0
31,32,0
32,33,0
33,34,0
34,35,0
35,36,0
36,37,0
37,38,0
38,39,0
39,40,0
40,41,0
41,42,0
42,43,0
43,44,0
44,45,0
45,46,0
46,47,0
47,48,0
48,49,0
49,50,0
50,51,0
51,52,0
52,53,0
53,54,0
54,55,0
55,56,0
56,57,0
57,58,0
58,59,0
59,60,0
60,61,0
61,62,0
62,63,0
63,0,0
64,65,1
65,66,1
66,67,1
67,68,1
68,69,1
69,70,1
70,71,1
71,72,1
72,73,1
73,74,1
74,75,1
75,76,1
76,77,1
77,78,1
78,79,1
79,80,1
80,81,1
81,82,1
82,83,1
83,84,1
84,85,1
85,86,1
86,87,1
87,88,1
88,89,1
89,90,1
90,91,1
91,92,1
92,93,1
93,94,1
94,95,1
95,64,1
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
